idx,value1,value2,value3,value4,value5,value6,value7,value8
41,0.991965077318959,0.9953430536153999,1.126130265916054,0.971916892338391,0.918246026006243,0.9728405833229465,1.1338998904488535,0.9059650312826061
42,0.9774351826882565,0.9974347391653389,1.1340944271903197,0.939258198686137,0.9117665443647743,1.0502742116415307,1.089991135802987,0.9383347424063411
43,1.0438178929982347,0.9949944393570768,1.1259809378921615,0.9421100846107001,0.9022215015165893,1.0369998753583447,1.144410904208033,0.9673275678392347
44,1.0318355349902202,0.9942972108404304,1.1073149349056008,0.9374182722831932,0.9008977364500527,1.001601645269849,1.103997268260559,0.9727032332224744
45,0.9999457484651242,0.9810498690241501,1.0580864630290454,0.9391662023659899,0.9080739365475933,0.928592795712327,1.0590160457681281,0.9748335115788463
46,1.0826484591801584,0.9810498690241501,0.9662995043431319,1.044869974215116,0.9124632628208462,0.9131060700486102,1.0775522481238975,0.9875994018774008
47,1.0793652151761257,0.9805269476366654,0.8769017940394983,1.0673170763310313,0.937684470930649,0.9153184594291413,1.1034035226231433,0.9930434465659068
48,0.9965303884074121,0.9808755618949886,0.7986041335118726,1.085164362439587,0.9852006696347527,0.9131060700486102,1.1177976272000458,1.015077362701319
49,0.97996773436845,0.9827929403157659,0.7560456467025147,1.027850654987885,0.9750285801761029,0.9153184594291413,1.092193886400945,1.020689725679711
50,1.0889718988295685,0.9848846258657049,0.7362347955327786,1.0883842336447387,0.9851309977891455,0.9153184594291413,1.0690432213470376,1.030825642698794
51,0.9514413252714505,0.9887193827072598,0.743153660639797,1.1114753100016845,0.974680220948067,0.9108936806680793,1.130233782451189,1.0777233262183294
52,1.0122182509255733,0.9941229037112689,0.7699829289324799,1.0725608665794213,0.9831105142665371,0.928592795712327,1.0448235325072313,1.0855290869118008
53,1.0115859190900003,0.9913339896446836,0.8700824809484082,1.0693409953742696,0.9928645726515436,0.9263804063317961,1.0625143989258512,1.0786227770799088
54,0.9684578449601378,0.9946458250987535,1.0085095590967408,1.0827724581157598,0.9917498231218286,0.9219556275707341,1.187425543766225,1.0784965383624943
55,0.9992820342441355,0.9948201322279152,1.1257320578523404,1.0616133044819052,0.9817170773543932,0.928592795712327,1.1313932109773988,1.0846401559433396
56,1.106055754346477,0.9873249256739671,1.1848659553137642,1.059129403837931,0.9505737623679792,0.9263804063317961,1.0137187826002425,1.0371796581419972
57,1.008916740827911,0.9922055252904914,1.2266778020036595,1.0829564507560543,0.9967661960055463,0.93522996385392,0.9291560918804155,0.9998182577338254
58,0.991995300176056,0.9911596825155219,1.2153288721878308,1.0824044728351712,0.9836678890313946,0.9396547426149819,0.9593865825475422,0.9562448604395418
59,0.8987447957900543,0.9927284466779762,1.2244876576532366,1.1044835896704976,0.9518278555889086,0.928592795712327,0.9694127663675555,0.9230545976526118
60,0.9403597595533202,0.9911596825155219,1.2054732226109268,1.1024596706272594,0.993003916342758,0.928592795712327,0.8970231572869671,0.8930308226941653
61,0.968484392935892,0.9981319676819852,1.1995498776631917,1.0814845096336991,1.0186431555262039,0.928592795712327,0.9452360409792473,0.8834629799034481
62,0.9857881193282454,0.9983062748111469,1.218813192745322,1.0824964691553183,0.9555901352516969,0.9485043001371058,0.9657637512427771,0.8646271112758734
63,0.9658167795816861,0.9906367611280372,1.1898435561101803,1.0865443072417948,0.9342008786502896,0.930805185092858,1.0456109079164624,0.8337512249748782
64,0.9290487110323642,0.9909853753863603,1.15514967855916,1.1160751260090442,0.9272336940895706,0.9529290788981678,1.0215774056704359,0.8974070982312059
65,0.9930895374331847,0.9934256751946225,1.2117449996144112,1.0476298638195318,0.9218689619778169,0.9219556275707341,1.1012480955060127,0.9163166061106058
66,0.9295258528075894,0.9979576605528236,1.230162122561151,1.045421952135999,0.9155288240275625,0.9197432381902032,1.0006479659163474,0.9336060504498513
67,1.016050108104314,0.9850589329948666,1.2365832275885278,1.002183681666818,0.9207542124481018,0.928592795712327,1.0706115798506703,0.9536832664653366
68,1.1011348002872408,0.9843617044782202,1.1955180210180947,0.9947319797348951,0.9063321404074135,0.9131060700486102,1.0124924348105078,0.9493595903938855
69,1.0608005368730307,0.9822700189282813,1.0901422121579651,1.061521308161758,0.9193607755359581,0.9219556275707341,0.9625378953484306,0.9646502550407328
70,1.027727120806554,0.981921404669958,1.0582357910529379,1.0517696982261555,0.9158771832555985,0.9108936806680793,0.9575432154654867,0.9058072328858378
71,0.9497511455590328,0.9820957117991196,0.910749479455128,1.0529656503880689,0.9518975274345158,0.9153184594291413,1.011883835790729,0.9839805586448481
72,1.009538121315528,0.9815727904116349,0.8648560001121713,1.0725608665794213,0.9428401875055811,0.9197432381902032,1.0357903610180543,0.9906396509884698
73,0.9930243186746001,0.9822700189282813,0.8089077671604541,0.9675010689713257,0.9467418108595838,0.9108936806680793,1.0605114188850173,1.0171234819127477
74,0.9737575553696249,0.9841873973490586,0.7944229488428831,1.0620732860826412,0.946463123477155,0.928592795712327,1.066974545367258,1.0298630724785076
75,0.9781242748021357,0.9874992328031287,0.8136364879170493,1.0770686862666339,0.9401229855269007,0.9462919107565748,1.0588385587315494,1.0359435707006457
76,1.0115160811376038,0.988196461319775,0.8830740190270543,1.052505668787333,0.9269550067071417,0.9219556275707341,1.060582604989308,1.0653624518048135
